AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
34,IG38,HTS61,1/1,A,SQFT,CAT8,-0.14037630673365653,-0.05838484066060784
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.3288259888388143,0.059115541598080995
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.028794573964458454,-0.15985647155638946
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.15121296817188534,6.336309602492681
2,IG38,HTS61,1/1,A,SQFT,CAT8,-0.08762025960640125,-0.06395767839538911
2,IG38,HTS61,1/1,B,SQFT,CAT8,-0.0018883942867235182,-0.056293657934982644
34,IG38,HTS61,1/1,A,SQFT,CAT8,0.15976958263476565,0.059115541598080995
2,IG38,HTS61,1/1,B,SQFT,CAT8,-0.2640109581003029,-0.10675575836643036
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.3265756996564901,-0.0035870943687016156
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.1787741237757646,0.059115541598080995
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.03252626918491116,-0.05016244156665748
33,IG38,HTS61,1/1,A,SQFT,CAT8,0.6757192506444699,0.059115541598080995
33,IG38,HTS61,1/1,B,SQFT,CAT8,0.3576520485070895,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.35716014841508625,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.03526858525395234,-0.05028287617389243
33,IG38,HTS61,1/1,C,SQFT,CAT8,-0.1720142082390139,-0.05979721014545417
33,IG38,HTS61,1/1,C,SQFT,CAT8,-0.03515877773164558,-0.06114388802635417
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.03488391122487926,-0.04959311433245585
2,IG38,HTS61,1/1,C,SQFT,CAT8,0.032485863936128664,-0.04999821255679162
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.04924698394179832,-0.04948362832587862
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.24027983031758848,0.059115541598080995
2,IG38,HTS61,1/1,A,SQFT,CAT8,-1.8234093756183554,-0.15985647155638946
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.0080342641572227,-0.05384117138765258
2,IG38,HTS61,1/1,A,SQFT,CAT8,0.3886242777652457,-0.03515191006491853
2,IG31,HTS55,1/1,A,YD,CAT12,-0.025123293124911846,-0.051060226820590804
2,IG31,HTS55,1/1,A,YD,CAT12,0.9619759202737188,0.059115541598080995
4,IG31,HTS55,1/1,A,YD,CAT12,-0.025123293124911846,-0.15985647155638946
2,IG31,HTS55,1/1,B,YD,CAT12,-1.9429160560191676,-0.08686215097134672
4,IG31,HTS55,1/1,B,YD,CAT12,3.951476381854887,0.059115541598080995
4,IG31,HTS55,1/1,B,YD,CAT12,-2.394161409508116,-0.15985647155638946
3,IG31,HTS55,1/1,A,YD,CAT12,0.8311508252199717,0.059115541598080995
2,IG31,HTS55,1/1,B,YD,CAT12,0.059485213295822466,-0.049330347916670486
2,IG31,HTS55,1/1,B,YD,CAT12,-0.9558168426205369,-0.15985647155638946
2,IG38,HTS61,1/1,B,SQFT,CAT8,0.030468940424466094,-0.050698922998885926
29,IG38,HTS61,1/1,B,SQFT,CAT8,0.030060154267327718,-0.15985647155638946
